numero,sexo,grupo
MA001,M,branco
MA003,F,branco
MA007,M,branco
MA011,M,branco
MA013,M,branco
MA016,M,branco
MA017,F,branco
MA025,M,branco
MA037,M,branco
MA045,M,branco
MA045,M,branco
MA051,M,branco
MA058,F,branco
MA061,F,branco
MA067,F,branco
MA079,M,branco
MA083,M,branco
MA099,M,branco
MA106,M,branco
MA109,M,branco
MA117,M,branco
MA120,F,branco
MA123,M,branco
MA127,M,branco
MA128,M,branco
MA133,M,branco
MA137,M,branco
MA139,M,branco
MA146,M,branco
MA155,M,branco
MA159,M,branco
MA161,F,branco
MA162,M,branco
MA177,M,branco
MA179,M,branco
MA199,M,branco
MA200,F,branco
MA206,M,branco
MA213,M,branco
MAHU 127,M,branco
MAHU 37,F,branco
MAHU 74,F,branco
MAHU 86,M,branco
MAHU 94,M,branco
MAHU005,M,branco
MAHU018,F,branco
MAHU019,F,branco
MAHU10,M,branco
MAHU102,M,branco
MAHU106,F,branco
MAHU11,M,branco
MAHU110,M,branco
MAHu111,M,branco
MAHU112,M,branco
MAHU118,M,branco
MAHU128,M,branco
MAHU130,M,branco
MAHU135,F,branco
MAHU137,M,branco
MAHU142,M,branco
MAHu144,M,branco
MAHU147,M,branco
MAHU156,M,branco
MAHU158,M,branco
MAHu162,F,branco
MAHU167,F,branco
MAHU182,M,branco
MAHU193,M,branco
MAHU197,M,branco
MAHU201,M,branco
MAHU202,M,branco
MAHU205,M,branco
MAHU214,M,branco
MAHU216,M,branco
MAHU218,M,branco
MAHU219,M,branco
MAHU229,F,branco
MAHU230,M,branco
MAHU231,M,branco
MAHU234,M,branco
MAHU276,F,branco
MAHU28,M,branco
MAHU280,M,branco
MAHu282,M,branco
MAHU283,M,branco
MAHU287,M,branco
MAHU290,M,branco
MAhu294,M,branco
MAHU295,M,branco
MAHU338,M,branco
MAHU34,M,branco
MAHU346,M,branco
MAHU358,M,branco
MAHU359,M,branco
MAHU364,M,branco
MAHU49,M,branco
MAHU50,M,branco
MAHU55,M,branco
MAHU57,M,branco
MAHU59,M,branco
MAHU77,M,branco
MAHU85,M,branco
MAHU88,M,branco
MAHU90,M,branco
MAHU96,F,branco
MAHU 79,M,branco
MA005,M,mong
MA006,F,mong
MA008,M,mong
MA010,F,mong
MA015,F,mong
MA021,M,mong
MA022,M,mong
MA024,M,mong
MA029,M,mong
MA033,M,mong
MA034,M,mong
MA035,M,mong
MA047,M,mong
MA049,M,mong
MA063,M,mong
MA064,F,mong
MA087,F,mong
MA108,F,mong
MA129,F,mong
MA142,M,mong
MA148,F,mong
MA165,F,mong
MA23,M,mong
MA30,F,mong
MA54,M,mong
MA91,F,mong
MA95,M,mong
MAhU42,M,mong
MA002,M,negro
MA014,M,negro
MA027,M,negro
MA075,M,negro
MA085,M,negro
MA097,F,negro
MA103,M,negro
MA105,F,negro
MA115,F,negro
MA140,M,negro
MA141,M,negro
MA160,F,negro
MA184,M,negro
MA187,M,negro
MA190,M,negro
MA195,M,negro
MA215,F,negro
MA220,M,negro
MA227,M,negro
MA283,M,negro
MA315,M,negro
MAHU 98,F,negro
MAHU001,F,negro
MAHU001,F,negro
MAHU017,M,negro
MAHU104,M,negro
MAHU109,F,negro
MAHU113,F,negro
MAHU122,F,negro
MAHU126,M,negro
MAHU132,F,negro
MAHU138,F,negro
MAHU146,M,negro
MAHU149,F,negro
MAHU150,M,negro
MAHU154,F,negro
MAHU181,M,negro
MAHU194,F,negro
MAHU212,M,negro
MAHU224,M,negro
MAHU232,M,negro
MAHU233,M,negro
MAHU253,M,negro
MAHU255,M,negro
MAHU260,M,negro
MAHU275,F,negro
MAHU310,F,negro
MAHU313,M,negro
MAHU344,M,negro
MAHU35,M,negro
MAHU350,F,negro
MAHU363,M,negro
MAHU371,M,negro
MAHU374,M,negro
MAHU41,F,negro
MAHU43,F,negro
MAHU47,M,negro
MAHU52,F,negro
MAHU6,F,negro
MAHU75,F,negro
MAHU8,M,negro
MAHU84,F,negro
MAHU91,F,negro
MA032,F,pardo
MA038,M,pardo
MA041,M,pardo
MA056,M,pardo
MA059,F,pardo
MA065,M,pardo
MA066,M,pardo
MA069,M,pardo
MA070,M,pardo
MA071,M,pardo
MA073,M,pardo
MA077,M,pardo
MA081,M,pardo
MA086,M,pardo
MA090,M,pardo
MA102,F,pardo
MA107,M,pardo
MA113,M,pardo
MA121,F,pardo
MA130,M,pardo
MA134,F,pardo
MA135,F,pardo
MA136,M,pardo
MA138,M,pardo
MA150,M,pardo
MA151,M,pardo
MA152,M,pardo
MA153,M,pardo
MA154,M,pardo
MA167,F,pardo
MA186,F,pardo
MA233,F,pardo
MA269,M,pardo
MAHA20,M,pardo
MAHU 103,M,pardo
MAHU 198,M,pardo
MAHU 73,M,pardo
MAHU107,F,pardo
MAHU12,M,pardo
MAHU120,F,pardo
MAHU123,M,pardo
MAHU13,M,pardo
MAHU134,M,pardo
MAHU148,M,pardo
MAHU152,M,pardo
MAHU155,F,pardo
MAHU161,F,pardo
MAHu168,M,pardo
MAHU184,F,pardo
MAHU200,M,pardo
MAHU204,M,pardo
MAHU213,M,pardo
MAHU217,M,pardo
MAHU223,M,pardo
MAHU226,M,pardo
MAHU23,M,pardo
MAHU237,F,pardo
MAHU309,M,pardo
MAHU31,M,pardo
MAHU314,M,pardo
MAHU322,M,pardo
MAHU343,M,pardo
MAHU355,M,pardo
MAHU36,F,pardo
MAHU369,M,pardo
MAHU38,M,pardo
MAHU51,M,pardo
MAHU63,F,pardo
MAHU87,M,pardo
MAHU89,F,pardo
