ID,GENUS,SPECIES,SUB,GROUP,MUSEUM,IDORI,SEX,LOCALITY2
B12150,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,M,120 km S de
B12158,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,F,120 km S de
B12143,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,M,120 km S de
B12146,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,F,120 km S de
B12147,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,F,120 km S de
B12157,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,M,126 km S de
B12149,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,F,170 km S de
B12135,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,F,70 km S de T
B12139,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,M,70 km S de T
B21598,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,M,Base de Apoi
B21595,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,M,"Belém, Pa (d"
B11845,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,M,"Canoal, 30 k"
B12375,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,M,"Canoal, Tucu"
R23209,Alouatta,belzebul,belzebul,,MNRJ,A.b belzebul,F,Estrada Bel
B12346,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,M,Ilha da Band
B12352,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,F,Ilha Tocanti
B12355,Alouatta,belzebul,belzebul,,MPEG,A. belzebul,F,Ilha Tocanti
B12357,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,M,Ilha Tocanti
B12359,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,F,Ilha Tocanti
B12364,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,M,Ilha Tocanti
B12365,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,F,Ilha Tocanti
R21092,Alouatta,belzebul,belzebul,,MNRJ,A.b belzebul,M,"Maiandeua, M"
R31325,Alouatta,belzebul,belzebul,,MNRJ,A.b belzebul,M,Maranhão
R23190,Alouatta,belzebul,belzebul,,MNRJ,A.b belzebul,F,"Paragominas,"
R23136,Alouatta,belzebul,belzebul,,MNRJ,A.b belzebul,M,"Santa Luzia,"
B23061,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,M,São Felix do
B12151,Alouatta,belzebul,belzebul,,MPEG,A.b belzebul,F,"Saúde, Tucur"
